id,precipitation (mm/yr),w,B,Q (kg/s),A (km^2),R (km),T(C),Qs (MT/y),Qs (T/y),density (kg/m^3),volume (m^3/yr),erosion (m/yr),erosion (mm/yr),fault_id,distance
79,73.5,0.0006,1,57.6333131027928,2.550659210433519,0.738,20.67361094156901,1.345705335711283,1345705.335711283,2700,498.4093835967715,0.00019540414554716624,0.19540414554716623,0,53291.0786183
81,71.0,0.0006,1,26.616962036242167,0.7464720370817962,0.242,20.916667175292968,0.060343588226785955,60343.588226785956,2700,22.349477121031835,2.9940139765185666e-05,0.029940139765185666,0,54086.7420216
82,68.0,0.0006,1,22.462215174276988,0.5801065573396815,0.164,21.35833282470703,0.027385634403285935,27385.634403285934,2700,10.142827556772568,1.748442148850497e-05,0.01748442148850497,0,54284.2604387
83,109.15,0.0006,1,80.65638258265881,3.5992490969377937,1.496,17.53666664123535,4.569624716774632,4569624.716774632,2700,1692.4535988054192,0.0004702240809743739,0.4702240809743739,0,55088.6512925
84,72.6,0.0006,1,47.302223400411016,1.8661800927044907,0.808,20.755000000000003,0.8882198120866307,888219.8120866307,2700,328.9703007728262,0.00017628003966973973,0.17628003966973974,0,55483.0005084
85,63.0,0.0006,1,36.91672424876926,1.3431020491340586,0.425,21.6875,0.2742090864266851,274209.0864266851,2700,101.55892089877226,7.561519317482284e-05,0.07561519317482285,0,56210.368861
86,59.0,0.0006,1,28.197098978818527,0.8986972142409219,0.202,22.025,0.06764510281322703,67645.10281322703,2700,25.053741782676678,2.7877845158158347e-05,0.027877845158158346,0,56669.3756477
87,88.3529411764706,0.0006,1,71.85264114039633,3.320106175690065,1.239,19.22941176470588,3.410226814350634,3410226.814350634,2700,1263.0469682780126,0.00038042366763029665,0.38042366763029667,0,56561.8975899
89,62.666666666666664,0.0006,1,32.26036179690249,1.083475702180574,0.261,21.855555216471352,0.11963052577949075,119630.52577949075,2700,44.30760214055213,4.089395087622162e-05,0.04089395087622162,0,57479.2588999
91,70.92307692307692,0.0006,1,61.010033994318064,2.8463328067739844,0.8,20.87948702298678,1.7403957230403657,1740395.7230403656,2700,644.5910085334688,0.0002264636823211282,0.22646368232112818,0,57992.7609342
92,123.3157894736842,0.0006,1,101.41883309614018,4.8996587394491895,0.967,15.638596464458265,4.508789288412599,4508789.288412599,2700,1669.921958671333,0.0003408241364293593,0.34082413642935927,1,71.6777807109
94,100.21428571428571,0.0006,1,70.88780238863019,3.050197389426909,1.107,17.763690730503626,2.55112378938608,2551123.78938608,2700,944.8606627355853,0.00030977033355638397,0.30977033355638395,1,3029.09366996
95,91.0,0.0006,1,28.720534548169848,0.745422884016466,0.293,18.583332824707032,0.06994194668481185,69941.94668481185,2700,25.90442469807846,3.475131399039025e-05,0.03475131399039025,1,3751.16715854
97,118.66666666666667,0.0006,1,73.3146671358935,2.959429473444813,1.334,16.277777735392252,2.826838879949599,2826838.879949599,2700,1046.977362944296,0.00035377675742534286,0.35377675742534287,1,5422.91217906
98,85.14285714285714,0.0006,1,51.25282863432833,1.9612606184654309,0.855,19.425,1.0016858514550235,1001685.8514550235,2700,370.99475979815685,0.00018916137728214728,0.18916137728214727,1,5834.99947279
100,124.42857142857143,0.0006,1,59.10639484931095,2.0418079724218225,1.338,15.802381025041853,1.531014341766757,1531014.341766757,2700,567.0423488025026,0.0002777158070011472,0.27771580700114723,1,6345.64904031
101,126.9,0.0006,1,66.30389771414004,2.4335227678040616,1.362,15.77,2.07938316970954,2079383.1697095402,2700,770.1419147072371,0.00031647203999746843,0.3164720399974684,1,7219.32882516
102,74.0,0.0006,1,27.123878141485143,0.7537752218349931,0.331,20.65,0.08384804516372225,83848.04516372226,2700,31.054831542119356,4.119906126194937e-05,0.04119906126194937,1,7734.58388043
103,98.71428571428571,0.0006,1,52.19555923930053,1.8758007195296154,1.112,18.082143075125558,1.181207489956522,1181207.489956522,2700,437.48425553945253,0.0002332253373104357,0.2332253373104357,1,8527.18263717
105,77.0,0.0006,1,25.749917826239564,0.6795157895429441,0.228,20.51666717529297,0.04910981643405141,49109.81643405141,2700,18.188820901500524,2.6767326354159757e-05,0.026767326354159758,1,9063.96061259
106,122.34782608695652,0.0006,1,86.94479584198551,3.8371971804096763,1.328,16.12355081309443,4.286153543136695,4286153.543136695,2700,1587.4642752358131,0.0004137041180318829,0.4137041180318829,1,10096.4040987
107,78.0,0.0006,1,31.474759969917187,0.9332997059541166,0.304,20.21666717529297,0.10832231956225903,108322.31956225903,2700,40.119377615651494,4.298659622381137e-05,0.04298659622381137,1,10748.1898354
108,98.0,0.0006,1,44.23748052127054,1.4417421059733875,0.899,18.011110941569008,0.61962568215439,619625.6821543899,2700,229.49099339051477,0.00015917617474005497,0.15917617474005497,1,11128.9708707
109,76.0,0.0006,1,23.515034423517477,0.5908006659656576,0.223,20.391666412353516,0.03790490620746678,37904.90620746678,2700,14.038854150913624,2.3762420998573626e-05,0.023762420998573626,1,11711.6597769
112,78.5,0.0006,1,32.595120617720276,0.9843144691791074,0.433,20.183333587646484,0.1682358344580984,168235.8344580984,2700,62.30956831781422,6.33025016586201e-05,0.0633025016586201,1,9431.73348121
114,82.33333333333333,0.0006,1,36.1412426857103,1.1353253796788063,0.515,19.705555216471353,0.24984495425052958,249844.95425052958,2700,92.53516824093688,8.150541677057894e-05,0.08150541677057895,1,13594.8730497
115,113.16666666666667,0.0006,1,69.4674713906684,2.778152271773587,0.971,16.829166666666666,1.892215643336734,1892215.643336734,2700,700.8206086432348,0.0002522614097735641,0.2522614097735641,1,14830.5715544
116,100.0,0.0006,1,47.578653296451094,1.6051050462060201,0.842,18.052083206176757,0.6964761896897882,696476.1896897882,2700,257.9541443295512,0.00016070857476853387,0.16070857476853387,1,15264.4759432
117,122.33333333333333,0.0006,1,79.69364740704052,3.3345714004691813,1.278,16.098611195882164,3.2804561805707166,3280456.1805707165,2700,1214.983770581747,0.0003643598006060978,0.3643598006060978,1,12666.4654776
118,106.11111111111111,0.0006,1,79.4331140997585,3.561543563463448,1.033,17.38888905843099,3.0490409586389546,3049040.9586389544,2700,1129.2744291255387,0.0003170744394959381,0.3170744394959381,1,16773.3775987
119,107.94915254237289,0.0006,1,109.6168168217997,5.936286809301361,1.105,17.305084719900357,7.465851032544337,7465851.032544337,2700,2765.1300120534584,0.0004658012830041959,0.4658012830041959,1,16941.1348563
120,77.75,0.0006,1,46.5249994183514,1.755765605736824,0.548,20.308333587646484,0.5454551053950544,545455.1053950543,2700,202.0204094055757,0.00011506114981720232,0.11506114981720232,1,18281.005825
121,89.83333333333333,0.0006,1,48.17967011785293,1.7281352537682664,0.844,18.969444529215494,0.7998155857621589,799815.585762159,2700,296.22799472672557,0.00017141482073280368,0.17141482073280367,1,18523.6441436
